code_qp,nom_qp,nom_commune,pop_mun,pop_com_qp,pop_com,ind_jeune,tx_tot_et,tx_f,tx_f_et,percou,pmimp,part_chomprinc,decuc_q2,decuc_d1,decuc_d9,disp_q2,disp_d1,disp_d9,tp60,brev,a,tx_tot_empl,tx_f_empl,tx_et_empl,tx_tot_eprec,tx_f_eprec,tx_et_eprec,abcde,abcde_f,abcde_h,abc_capbep,abc_bac,abc_supbac,ec_mat,ec_elem,ec_elem_pri,coll,coll_pri,nbetab,ens_sante,serv_par,serv_tot,auto_ent
QP066005,Diagonale Du Haut - Moyen-Vernet,Perpignan,5101,32385,120959,2.2,25.4,50,24.1,3636,13.8,9,4216,0,17898,10859,6688,18977,63.2,80.3,1610,25.1,18.8,22.3,24.5,25.4,33.3,674,266,408,232,97,77,2,2,0,1,0,257,39,54,87,10
QP066006,Rois De Majorque,Perpignan,1581,32385,120959,,,50.4,,1030,,,5988,0,16198,10653,5833,17313,66,82.2,374,27.8,,,28,,,237,90,147,64,43,47,0,0,0,0,0,43,4,5,13,4
QP066007,Bas-Vernet Nouveau QPV,Perpignan,2854,32385,120959,0.8,15.2,52.3,14.3,2025,25,7.7,10449,0,25982,13546,7986,25174,40.9,56.3,1006,42,40.1,34.7,19.3,,,548,231,317,203,96,87,2,2,0,0,0,225,13,31,73,9
QP066008,Quartier Centre Ancien,Perpignan,11358,32385,120959,2.4,10.2,47.6,8.7,6794,21.2,8.1,5168,0,26192,11527,6055,24882,55.5,71.1,4329,26.5,26.1,28.3,28.3,25.8,48.8,1439,504,935,441,247,326,1,3,1,2,0,1237,66,178,433,32
QP066009,Quartier Nouveau Logis,Perpignan,994,32385,120959,,,53.8,,933,,,2500,0,17122,12049,8043,18485,52.3,,426,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,124,25,27,60,0
QP066010,Quartier Champs De Mars,Perpignan,1609,32385,120959,1.7000000000000002,21.4,55.5,20.3,1505,,,4842,0,14796,10421,7209,16879,67.4,84.1,623,26.7,20.4,17.9,30.1,30.6,24.2,326,135,191,118,58,37,0,0,0,1,0,31,0,1,4,9
QP081001,La Falgalarié,Aussillon,1283,1283,6148,1.1,24.5,52.6,26.1,796,,,7820,20,18266,12050,7595,19560,54.7,71.8,350,40.6,35.3,33.5,26.2,28,28.3,192,89,103,59,42,26,0,1,0,0,0,28,2,3,5,0
QP081002,Laden Petit Train,Castres,1254,6317,41636,2.3,,47.8,,948,,,4910,0,17806,11182,6847,18300,59.3,77.6,428,37.9,27.6,35.9,31.4,,,265,119,146,89,50,25,0,1,0,1,1,29,1,5,13,0
QP081003,Lameilhé,Castres,1298,6317,41636,1.7000000000000002,14.2,57.3,13,1373,,,6858,0,17748,11796,7785,18643,53.9,75.5,672,37.6,34.3,33.1,36.3,36.9,44.7,364,193,171,158,69,34,0,1,0,0,0,23,8,10,13,0
QP081004,Aillot Bisséous Lardaillé,Castres,2116,6317,41636,2,7.6,54.9,8.8,1597,15.8,,8535,0,20468,12564,7924,20544,48.2,65.9,723,40.6,33.3,,26.9,20.9,41.3,384,195,189,138,81,48,1,2,0,1,0,38,7,13,24,0
QP081005,Centre Ville,Castres,1649,6317,41636,0.9,,50.9,,1304,31.4,,11492,86,31682,14600,8283,29934,36.7,52.5,866,54.8,51,,27.7,27.2,,347,170,177,129,73,67,1,4,2,5,3,434,36,85,188,5
QP081006,Cantepau,Albi,2106,5132,49342,2.6,23.7,55.6,,2003,,11.8,3878,0,14874,10467,6917,16986,65.5,85.9,902,24.1,17.7,,44.9,,,544,278,266,195,79,69,0,2,0,0,0,35,5,9,13,0
QP081007,Veyrières Rayssac,Albi,1782,5132,49342,1.5,17.6,57.2,15.6,1364,20,,9100,0,22358,12935,8093,22514,43.9,63.9,650,42,40.3,29.9,24.6,20.4,32.1,358,198,160,122,78,51,0,2,0,0,0,46,13,20,25,0
QP081008,Lapanouse,Albi,1244,5132,49342,,,59.9,,1115,,,6009,0,17948,12040,7189,18978,51.7,72.2,517,34.4,31.5,,31,33.4,,296,160,136,95,68,42,0,2,1,0,0,33,9,12,14,0
QP081009,Rajol - Cérou - Gourgatieux - Bouloc - Verrerie,Carmaux,1877,1877,9688,0.5,11.5,55.5,,1149,18.2,,10866,872,20002,13749,8326,20586,39,56.1,640,40.7,41.8,26.4,30.8,28.6,,332,149,183,130,69,30,1,1,0,1,0,111,32,46,61,4
QP081010,Lentajou - Catalanis,Gaillac,1173,1173,14334,1,18,55.2,16.2,696,24.8,,9302,840,24004,12879,7840,23347,45.8,61.6,325,41.4,35.8,31.6,28.4,24.6,52,166,82,84,45,36,25,2,2,1,0,0,48,13,15,22,0
QP081011,Crins - En Gach,Graulhet,2701,2701,11807,0.7,13.4,54.7,12.9,1991,19,8.3,10344,816,22014,13166,7501,22569,42.8,59.2,940,41.5,35.4,29.2,29.1,31.2,,573,256,317,209,101,81,1,4,1,1,0,191,31,52,94,10
QP082001,Coeur de Ville,Montauban,3551,7353,57921,1.4,17.8,52.8,14.8,2637,32.2,8.9,11874,108,29868,14282,7567,27878,37.4,51.4,1591,50.7,48.5,40.9,21.3,20.5,34.3,765,342,423,225,167,159,0,3,1,3,3,612,56,113,252,26
QP082002,Médiathèque - Chambord,Montauban,3802,7353,57921,1.3,23.6,55,21.9,2868,24.1,8.6,8490,100,23314,12786,7647,23051,46.8,64.5,1312,42.4,39.9,28.4,24.4,23.6,31.5,0,0,0,0,0,0,1,2,0,1,0,93,20,29,47,3
QP082003,Centre Ville,Moissac,2470,3672,12564,0.9,25.4,50.6,22.8,1307,24.7,8.1,10136,1404,26388,13305,6421,25058,43.9,59.1,642,47.5,41,36.7,34.4,31.9,59.3,774,327,447,187,111,64,1,2,1,2,1,282,37,72,137,3
QP082004,Sarlac,Moissac,1202,3672,12564,1,36.7,50.7,33,539,,,8178,1160,21586,12553,6962,22000,47.7,66.1,209,28.4,22.5,17.7,38.7,57.3,63.6,220,90,130,50,36,20,1,1,0,0,0,19,3,5,7,0
