code_qp,nom_qp,nom_commune,pop_mun,pop_com_qp,pop_com,ind_jeune,tx_tot_et,tx_f,tx_f_et,percou,pmimp,part_chomprinc,decuc_q2,decuc_d1,decuc_d9,disp_q2,disp_d1,disp_d9,tp60,brev,a,tx_tot_empl,tx_f_empl,tx_et_empl,tx_tot_eprec,tx_f_eprec,tx_et_eprec,abcde,abcde_f,abcde_h,abc_capbep,abc_bac,abc_supbac,ec_mat,ec_elem,ec_elem_pri,coll,coll_pri,nbetab,ens_sante,serv_par,serv_tot,auto_ent
QP034001,Centre Ville,Béziers,19054,26491,74811,1.4,20.3,51.1,18.1,15911,20.7,9.2,6474,0,22974,11340,6199,22513,56.3,70.2,8289,35.9,31.3,28.5,26.2,25.8,31.9,4436,1857,2579,1689,811,627,6,12,4,6,3,2663,213,437,1050,124
QP034002,Iranget Grangette,Béziers,2832,26491,74811,1.2,19.7,56.2,17.6,2232,15.6,8.3,6906,0,18728,11535,7178,19259,56.4,73,974,34.1,28,18.6,17.3,,,580,229,351,197,103,80,2,2,0,2,0,98,17,26,43,4
QP034003,Devèze,Béziers,4605,26491,74811,1.3,24.2,53.7,22.3,2988,12.2,8.2,6286,0,17060,11118,6871,18168,60.6,78.5,1357,32.9,26.6,24,30.8,31.6,34.9,606,278,328,217,123,86,2,3,0,1,0,282,103,112,172,17
QP034004,Celleneuve,Montpellier,1420,52402,272084,,,51.7,,977,33.6,,10702,612,25282,13575,8046,24340,37.3,56.1,470,51.8,52.9,,21,,,259,126,133,59,73,69,1,0,0,1,0,99,28,32,55,14
QP034005,Mosson,Montpellier,21652,52402,272084,2.2,28.6,52.8,26.5,18434,14,10.6,6340,0,16344,11322,7104,18063,59.5,80.1,6830,30.8,24.3,27.2,21.4,18.3,25.8,3920,1575,2345,1059,760,546,12,10,0,2,0,1112,178,216,367,64
QP034006,Petit Bard Pergola,Montpellier,5756,52402,272084,1.8,35.9,49.9,36.1,4359,18.3,10.2,6776,196,18310,11541,6554,19327,57.1,76.6,1892,34.2,25,25.6,27.2,23.1,35.4,1009,416,593,281,225,155,2,2,0,0,0,200,38,48,70,19
QP034007,Pas Du Loup - Val De Croze,Montpellier,3245,52402,272084,1.6,12,56,10.1,2817,22.1,7.9,8656,0,20338,12732,7771,20702,46,67.4,1208,45.6,41.5,34.5,18.9,,,607,309,298,210,107,104,1,2,0,1,0,106,7,18,52,15
QP034008,Cévennes,Montpellier,5578,52402,272084,2.1,27.2,49.8,24,4504,26.7,10.7,8468,400,23768,12477,6656,23142,48.7,65.2,2201,41.1,36.6,31,25.2,22.3,44.4,1103,481,622,276,223,274,2,3,1,1,0,311,41,62,126,36
QP034009,Gély,Montpellier,1324,52402,272084,1.3,7.5,58.4,,1242,19.7,,3075,0,23092,12100,8265,22813,51.6,72.5,716,22.7,6.5,60.6,,,90,178,75,103,42,27,25,1,2,1,1,0,45,4,5,10,6
QP034010,Figuerolles,Montpellier,3419,52402,272084,1.3,20.9,50.2,16.9,1987,34.7,9.4,10982,360,33898,13650,6319,30784,42.6,53.9,1304,51.4,52.5,31.6,24.9,26.2,,600,284,316,81,113,282,2,3,1,1,1,452,49,99,214,40
